品番,受入場所,品名,収容数,サイクル間隔,サイクル回数,サイクル情報,不良率
82125ECB010    ,1Y,ﾜｲﾔ-T/M                       ,100,1,1,1,00
82125ECB020    ,1Y,ﾜｲﾔ-T/M                       ,8,1,1,1,00
82125ECB020    ,1Y,ﾜｲﾔ- T/M                      ,8,1,6,2,00
82125ECC020    ,1Y,ﾜｲﾔ-T/M                       ,8,1,1,1,00
82125ECC020    ,1Y,ﾜｲﾔ- T/M                      ,8,1,6,2,00
82125ECE010    ,1Y,ﾜｲﾔ-T/M                       ,100,1,1,1,00
82125ECE020    ,1Y,ﾜｲﾔ-T/M                       ,6,1,1,1,00
82125ECE020    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
82125ECE030    ,1Y,ﾜｲﾔ-T/M                       ,6,1,1,1,00
82125ECE030    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
82125ECE040    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
82821CWA030    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,200,1,2,3,00
82821ECB010    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,400,1,2,3,00
82821ECB020    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,200,1,2,3,00
82821ECB040    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,1,2,3,00
82821ECB050    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,1,2,3,00
82821ECB080    ,1Y,ｶﾊﾞ- ｺﾈｸﾀ-                    ,100,1,2,3,00
82821ECE010    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,50,1,2,3,00
82821ECE020    ,1Y,ｶﾊﾞ- ｺﾈｸﾀ-                    ,50,1,2,3,00
82821XAE010    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,1,2,3,00
82821XAE020    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,400,1,2,3,00
82824ECA010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,40,1,1,1,00
82824ECB010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,32,1,1,1,00
82824ECB020    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,40,1,1,1,00
82824ECE010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,1,1,1,00
82824ECE010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,1,1,3,00
9010506A003    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,2000,1,6,5,00
9010506A089    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,1500,1,6,5,00
9010508A014    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,500,1,6,5,00
