品番,仕入先名,仕入先工場名
9056457A136,（株）ムロコーポレーション,
9030146A009,ＮＯＫ（株）,
9031132A003,ＮＯＫ（株）,
354820LC010,サトープレス工業（株）,本社工場
01912ECB060,新光ゴム工業（株）,本社
9034108A010,（株）杉浦製作所,
9030117A010,ＮＯＫ（株）,
351988LA040,三共鋼業（株）,東浦南工場
351988LA020,三共鋼業（株）,東浦南工場
5040043004E,日本精工（株）,三河分室
9037414A001,日本精工（株）,三河分室
82821XAE020,石黒ゴム工業（株）,
G9210ECE010,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
019120LC050,日進工業（株）,丸共通運
9056463A036,（株）ムロコーポレーション,
9056457A132,（株）ムロコーポレーション,
9056455A042,（株）ムロコーポレーション,
9056451A081,（株）ムロコーポレーション,
9011906A063,（株）青山製作所,
1040052103H,ミヅホ工業（株）,
2030113004A,アイコー（株）,
9056455A044,（株）ムロコーポレーション,
9056455A043,（株）ムロコーポレーション,
9025006027,（株）水野鉄工所,
9030115027,ＮＯＫ（株）,
9052409A003,（株）東郷製作所,
34989ECE010,（株）槌屋,知立工場
9056439A006,（株）ムロコーポレーション,
9056457A135,（株）ムロコーポレーション,
9056451A088,（株）ムロコーポレーション,
9056451A083,（株）ムロコーポレーション,
9052032A001,サンコール（株）,豊田
9056451A087,（株）ムロコーポレーション,
34989ECE020,（株）槌屋,知立工場
35419TRA010,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
9056451A082,（株）ムロコーポレーション,
3040040039Y,サンコール（株）,豊田
01912ECB040,愛産樹脂工業（株）,第２工場
9056455A039,（株）ムロコーポレーション,
9056455A046,（株）ムロコーポレーション,
9033904A003,サトープレス工業（株）,本社工場
9056463A033,（株）ムロコーポレーション,
9056450A001,（株）ムロコーポレーション,
3539450A010,ミズショー（株）,三河支店
1040183004C,（株）青山製作所,
0355045013U,日本発条（株）,伊那工場
9050407A007,（株）東郷製作所,
9056463A032,（株）ムロコーポレーション,
9014860027,（株）青山製作所,
9056451A086,（株）ムロコーポレーション,
9050106A019,（株）東郷製作所,
35080ECE010,,
35782ECE030,,
9033106A003,サトープレス工業（株）,本社工場
0355052005L,（株）杉浦製作所,
34989ECB010,（株）槌屋,知立工場
357710LC030,（株）アイシン福井,本社工場
35246TFG010,（株）東郷製作所,
0355113017A,サトープレス工業（株）,本社工場
35782ECE020,,
35482TFA010,サトープレス工業（株）,本社工場
9036006004,日本精工（株）,三河分室
Y021782011,,
9056463A030,（株）ムロコーポレーション,
9056463A031,（株）ムロコーポレーション,
34989ECC010,（株）槌屋,知立工場
35080ECB010,,
9033114006,ナミコー（株）,
82125ECB020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
354110LC030,,
356790LC030,アイシン化工（株）,本社工場
356790LC100,,
356790LC090,,
9056457A130,（株）ムロコーポレーション,
41221ECE010,,
9056463A038,（株）ムロコーポレーション,
9056463A037,（株）ムロコーポレーション,
9025006027,,
3040141002R,ＮＯＫ（株）,
9011606048,（株）杉浦製作所,
34989ECE040,（株）槌屋,知立工場
9056457A128,（株）ムロコーポレーション,
34989ECE030,（株）槌屋,知立工場
0355183043P,（株）青山製作所,
82125ECC020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECE030,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECB020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
41221ECB010,,
356790LC060,アイシン化工（株）,本社工場
9056455A048,（株）ムロコーポレーション,
G115A60010,住友電気工業（株）,
9056451A080,,
9056451A080,（株）ムロコーポレーション,
821250LC040,住友電装（株）,
9010512A018,,
9020163A001,,
9056457A137,（株）ムロコーポレーション,
0191290A050,,
9056455A047,（株）ムロコーポレーション,
9915000049,,
9915000042,,
9056457A129,（株）ムロコーポレーション,
9056455A038,,
9056455A038,（株）ムロコーポレーション,
9046108A016,,
351980LC050,盟和精工（株）,
9915000022,,
9923700010,,
9025010017,,
9056463A029,（株）ムロコーポレーション,
9056463A028,（株）ムロコーポレーション,
9056439A002,,
9056457A139,（株）ムロコーポレーション,
9056439A003,,
9052199A236,,
9056451A089,（株）ムロコーポレーション,
9056451A090,（株）ムロコーポレーション,
9056451A091,,
356790LC070,アイシン化工（株）,本社工場
9036006004,,
9923700029,,
9056463A026,,
0355237001E,,
9056463A051,（株）ムロコーポレーション,
9056463A056,（株）ムロコーポレーション,
G1144ECE010,,
41361HFC020,,
9056455A049,（株）ムロコーポレーション,
35421TGB020,,
9056450A005,,
9056450A006,,
9056450A006,（株）ムロコーポレーション,
9056450A007,,
9056450A008,,
9056450A009,,
9056451A066,,
9056451A067,,
9056451A068,,
9056451A069,,
9056451A070,,
9056451A071,,
9056451A072,,
9056451A073,,
9056451A074,,
9056451A075,,
9056451A076,,
9056451A077,,
9056451A078,,
9056451A092,,
9056451A093,,
9056451A094,,
9056451A095,,
9056451A096,,
9056451A097,,
9056451A098,,
9056451A099,,
9056451A100,,
9056451A101,,
9056451A102,,
9056451A103,,
9056451A104,,
9056451A105,,
9056451A107,,
9056451A106,,
9056451A108,,
9056451A109,,
9056451A110,,
9056451A112,,
9056455A018,,
9056451A111,,
9056455A019,,
9056455A020,,
9056455A021,,
9056455A022,,
9056455A023,,
9056451A079,,
9056451A079,（株）ムロコーポレーション,
9056455A024,,
9056455A025,,
9056455A026,,
9056455A027,,
9056455A028,,
9056455A029,,
9056455A030,,
9056455A031,,
9056455A032,,
9056455A033,,
9056455A034,,
9056455A035,,
9056455A050,（株）ムロコーポレーション,
9056455A050,,
9056455A051,,
9056455A052,,
9056455A053,,
9056455A054,,
9056455A055,,
9056455A056,,
9056455A057,,
9056455A058,,
9056455A059,,
9056455A060,,
9056455A061,,
9056455A062,,
9056455A063,,
9056455A064,,
9056455A065,,
9056451A091,（株）ムロコーポレーション,
9910800009,,
9910800011,,
9056451A090,,
G9351ECB010,,
35256TGB010,,
9905300001,,
356790LC020,,
9056455A052,（株）ムロコーポレーション,
9056455A066,,
9056450A004,（株）ムロコーポレーション,
9056455A049,,
9050119A022,,
9056439A007,,
9056451A093,（株）ムロコーポレーション,
9056451A094,（株）ムロコーポレーション,
9056439A007,（株）ムロコーポレーション,
9036340085,,
9056457A138,（株）ムロコーポレーション,
9915000040,,
357890LC160,,
9056451A092,（株）ムロコーポレーション,
9056455A053,（株）ムロコーポレーション,
9056455A051,（株）ムロコーポレーション,
019120LC040,石黒ゴム工業（株）,
019128GA010,,
35312ECB010,（株）旭工業所,第１整備室
354710LC010,（株）旭工業所,第１整備室
9985200020,,
9036340A015,,
9036340A015,日本精工（株）,三河分室
G117247030,,
35174ECA010,,
9056450A004,,
356790LC130,,
9030118A008,,
41310ECA020,武蔵精密工業（株）,本社工場
9056463A028,,
9904900005,,
9915000052,,
41310ECA030,,
9905300100,,
0350056004F,,
356790LC020,アイシン化工（株）,本社工場
G21E176022,トヨタ自動車,槌屋
9056450A005,（株）ムロコーポレーション,
Y021720076,,
G11040LC010,,
391718LA010,,
9052032A001,,
9030135A001,ＮＯＫ（株）,
82125ECE040,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
01912ECB040,,
,,
